Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Electronic Toys,200001388,игрушки Kids Camera Instant Print Camera for Children 1080P HD Video Photo Camera Toys with 32GB Card Christmas gifts squidsgame,1005003522301817,https://ae01.alicdn.com/kf/H920aa1d8033c41aea5c28095b80b9897m/игрушки-Kids-Camera-Instant-Print-Camera-for-Children-1080P-HD-Video-Photo-Camera-Toys-with-32GB.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H920aa1d8033c41aea5c28095b80b9897m.jpg,https://ae04.alicdn.com/kf/U9b040c10cdd34db782c3a799a556963bq.jpg,https://ae04.alicdn.com/kf/U45633d3114d54a398a6042258aff85e4c.jpg,https://ae04.alicdn.com/kf/U1314850606ea4544a1b00675375f886dV.jpg,https://ae04.alicdn.com/kf/H2b8aef5f18694429926f8024e7b9bf9e2.jpg,",https://www.aliexpress.com/item/1005003522301817.html,81.73,42.50,40.00%,,48%,https://s.click.aliexpress.com/e/_Asvj9w
Electronic Toys,200001388,Big Size Electric Dinosaur Toy игрушки Park World Walking Dinosaur Robot With Light Sound Tyrannosaurus Rex Toys For Boys Kid,1005003524205063,https://ae01.alicdn.com/kf/Hf8986e443eaa49459d0804c1bad88a2ac/Big-Size-Electric-Dinosaur-Toy-игрушки-Park-World-Walking-Dinosaur-Robot-With-Light-Sound-Tyrannosaurus-Rex.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf8986e443eaa49459d0804c1bad88a2ac.jpg,https://ae04.alicdn.com/kf/H3b05be397cfe490a8799442cca69db38w.jpg,https://ae04.alicdn.com/kf/H794f842e2ebe4f2c850df387e77a29b0y.jpg,https://ae04.alicdn.com/kf/H298cb38cb0174448ac16e1c64f91fc38y.jpg,https://ae04.alicdn.com/kf/H2498de4fad0843d8911f606e216eaeadU.jpg,",https://www.aliexpress.com/item/1005003524205063.html,92.96,48.34,40.00%,,48%,https://s.click.aliexpress.com/e/_AVhbKc
Electronic Toys,200001388,squids gamer Electronic Pets Gift Keyring Dinosaur Eggs Pets Toys Gift Educational Funny 90S Nostalgic Virtual Cyber Pet Toy,1005003515587969,https://ae01.alicdn.com/kf/Hdc00fccecdb34734a7f541bb477adb9b0/squids-gamer-Electronic-Pets-Gift-Keyring-Dinosaur-Eggs-Pets-Toys-Gift-Educational-Funny-90S-Nostalgic-Virtual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdc00fccecdb34734a7f541bb477adb9b0.jpg,https://ae04.alicdn.com/kf/H3dc58a77b6314604b48de63888ed0de9V.jpg,https://ae04.alicdn.com/kf/H0a2afbcd344a451087f836ecbf625972G.jpg,https://ae04.alicdn.com/kf/H14f02ada6e7f41f8bd4e12198176bd69k.jpg,https://ae04.alicdn.com/kf/Ha9c6742f85304ed49b735fe742bca46fa.jpg,",https://www.aliexpress.com/item/1005003515587969.html,16.37,8.68,40.00%,,47%,https://s.click.aliexpress.com/e/_9xHNNa
Electronic Toys,200001388,Electric Christmas  Rail Car Train Toy Children's Electric Toy Railway Train Set Racing Road Transportation Building Toys,1005003422447600,https://ae01.alicdn.com/kf/H5b30d056b092456eb0f0e3fbbb337c7dV/Electric-Christmas-Rail-Car-Train-Toy-Children-s-Electric-Toy-Railway-Train-Set-Racing-Road-Transportation.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5b30d056b092456eb0f0e3fbbb337c7dV.jpg,https://ae04.alicdn.com/kf/He9a686c373434b5ea8b8e8a3da4a70f8e.jpg,https://ae04.alicdn.com/kf/H3be0707b02874757a23ab4d33387bbd0a.jpg,https://ae04.alicdn.com/kf/H55a44604c660422ca8962e0fa9814eb6Y.jpg,https://ae04.alicdn.com/kf/H0da0c75d6cf44137936927c39515feb4L.jpg,",https://www.aliexpress.com/item/1005003422447600.html,25.36,16.48,8.00%,,35%,https://s.click.aliexpress.com/e/_AsnIpW
Electronic Toys,200001388,игрушки Big Size Electric Dinosaur Toy Park World Walking Dinosaur Robot With Light Sound Tyrannosaurus Rex Toys For Boys Kid,1005003524082498,https://ae01.alicdn.com/kf/Hf8986e443eaa49459d0804c1bad88a2ac/игрушки-Big-Size-Electric-Dinosaur-Toy-Park-World-Walking-Dinosaur-Robot-With-Light-Sound-Tyrannosaurus-Rex.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf8986e443eaa49459d0804c1bad88a2ac.jpg,https://ae04.alicdn.com/kf/H3b05be397cfe490a8799442cca69db38w.jpg,https://ae04.alicdn.com/kf/H794f842e2ebe4f2c850df387e77a29b0y.jpg,https://ae04.alicdn.com/kf/H298cb38cb0174448ac16e1c64f91fc38y.jpg,https://ae04.alicdn.com/kf/H2498de4fad0843d8911f606e216eaeadU.jpg,",https://www.aliexpress.com/item/1005003524082498.html,92.96,48.34,40.00%,,48%,https://s.click.aliexpress.com/e/_A8SXz2
Electronic Toys,200001388,Retro Children's Phone Toy Phone Early Education Story Machine Baby Phone Emulated Telephone Toys For Children Musical Toys,1005003515877196,https://ae01.alicdn.com/kf/H20f7565660f148379ac6aad3639d8984v/Retro-Children-s-Phone-Toy-Phone-Early-Education-Story-Machine-Baby-Phone-Emulated-Telephone-Toys-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H20f7565660f148379ac6aad3639d8984v.jpg,https://ae04.alicdn.com/kf/Hb5bf154ce7fa43fbaefc4e41b187ceb0B.jpg,https://ae04.alicdn.com/kf/Hb05db60caf62418ebf2ddd0ada589caeo.jpg,https://ae04.alicdn.com/kf/Hf65030a1b0fb46f7853a80a639f4c2fb5.jpg,https://ae04.alicdn.com/kf/H36df3cf01a954bc499a59c68060d9b6cl.jpg,",https://www.aliexpress.com/item/1005003515877196.html,27.68,14.67,40.00%,,47%,https://s.click.aliexpress.com/e/_9HdIJi
Electronic Toys,200001388,Baby Education Musical Toy Multifunction Drum Activity Cube Shape Blocks Sorter For Kids Early Learning Musical toys for gift,1005003522086058,https://ae01.alicdn.com/kf/H62eb352ce8294a52bcc11017248204e6p/Baby-Education-Musical-Toy-Multifunction-Drum-Activity-Cube-Shape-Blocks-Sorter-For-Kids-Early-Learning-Musical.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H62eb352ce8294a52bcc11017248204e6p.jpg,https://ae04.alicdn.com/kf/H5e688a56fbbb48ae9dc7d6127f595130w.jpg,https://ae04.alicdn.com/kf/H6d686ad6e2034b01814e24274120c1755.jpg,https://ae04.alicdn.com/kf/H92027707f2624403adbe91dcaf735ad3H.jpg,https://ae04.alicdn.com/kf/Hb79f8fef9f56482b9365b1a1a9e60affF.jpg,",https://www.aliexpress.com/item/1005003522086058.html,55.06,28.63,40.00%,,48%,https://s.click.aliexpress.com/e/_A2EnE8
Electronic Toys,200001388,Children Kids Camera Educational Toys for Baby Gift Mini Digital Camera 1080P Projection Video Camera with 2 Inch Display Screen,1005003516429854,https://ae01.alicdn.com/kf/H14e95d39935d400c80b23e994ef28018H/Children-Kids-Camera-Educational-Toys-for-Baby-Gift-Mini-Digital-Camera-1080P-Projection-Video-Camera-with.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H14e95d39935d400c80b23e994ef28018H.jpg,https://ae04.alicdn.com/kf/Hab7f39fefd104b6b916c62c328fc5f470.jpg,https://ae04.alicdn.com/kf/Hf03b49a5f81947d892337f102311dba6Y.jpg,https://ae04.alicdn.com/kf/H71e375d1866443c9a934a5307f3d2b58k.jpg,https://ae04.alicdn.com/kf/H80607b1fa1074d01ba0c1676d0a5a291F.jpg,",https://www.aliexpress.com/item/1005003516429854.html,9.35,4.96,40.00%,,47%,https://s.click.aliexpress.com/e/_AO5Ps0
Electronic Toys,200001388,AY Tesco Kids Camera Instant Print Camera for Children 1080P HD Video Photo Camera Toys with 32GB Card,1005003516016777,https://ae01.alicdn.com/kf/H920aa1d8033c41aea5c28095b80b9897m/AY-Tesco-Kids-Camera-Instant-Print-Camera-for-Children-1080P-HD-Video-Photo-Camera-Toys-with.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H920aa1d8033c41aea5c28095b80b9897m.jpg,https://ae04.alicdn.com/kf/U9b040c10cdd34db782c3a799a556963bq.jpg,https://ae04.alicdn.com/kf/U45633d3114d54a398a6042258aff85e4c.jpg,https://ae04.alicdn.com/kf/U1314850606ea4544a1b00675375f886dV.jpg,https://ae04.alicdn.com/kf/H2b8aef5f18694429926f8024e7b9bf9e2.jpg,",https://www.aliexpress.com/item/1005003516016777.html,81.73,41.68,40.00%,,49%,https://s.click.aliexpress.com/e/_9GtvLO
Electronic Toys,200001388,"Kids Camera Waterproof Children Digital Camera for Kids Birthday Gifts Age 3-10,FHD Video Toddler Toy Camera for 3 4 5 6 7 8",1005003536410322,https://ae01.alicdn.com/kf/H2198ceeb129f455ea51328ce53cc2d9f4/Kids-Camera-Waterproof-Children-Digital-Camera-for-Kids-Birthday-Gifts-Age-3-10-FHD-Video-Toddler.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2198ceeb129f455ea51328ce53cc2d9f4.jpg,https://ae04.alicdn.com/kf/Hef82bbb50e5e48efa8e0bce4785c1199V.jpg,https://ae04.alicdn.com/kf/Hbd8b7659d4a2489aa27051a828c6fd8c8.jpg,https://ae04.alicdn.com/kf/H73023cfd94f641c1be06d37372fb317ed.jpg,https://ae04.alicdn.com/kf/H5aab1347abb04720a97edab785f1152ds.jpg,",https://www.aliexpress.com/item/1005003536410322.html,61.41,49.13,40.00%,,20%,https://s.click.aliexpress.com/e/_98yrtw
