Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
High Tech Toys,200386159,Principle of Total Eclipse of The Sun and Moon Earth Movement Instrument Toy Gift Astronomy Simulation of The Sun Earth Moon,1005003415308633,https://ae01.alicdn.com/kf/H3afb0e6f58b645ba8316ca4b5a29a1476/Principle-of-Total-Eclipse-of-The-Sun-and-Moon-Earth-Movement-Instrument-Toy-Gift-Astronomy-Simulation.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3afb0e6f58b645ba8316ca4b5a29a1476.jpg,https://ae04.alicdn.com/kf/H9327ab8bc878472c99bdc34a9ecf8841p.jpg,https://ae04.alicdn.com/kf/H6a6be997e9634b3e898bac4e77a4da49v.jpg,https://ae04.alicdn.com/kf/Hea20fb09857c4c4ea0cd3372bfaee3e4E.jpg,https://ae04.alicdn.com/kf/H8ea170b51bc140ed82bc10c4fccb03daW.jpg,",https://www.aliexpress.com/item/1005003415308633.html,42.58,28.95,8.00%,,32%,https://s.click.aliexpress.com/e/_AC4nFQ
High Tech Toys,200386159,DIY wooden stepper science toy assembly elliptical machine model kit science teaching aid creative invention children's gifts,1005003415426203,https://ae01.alicdn.com/kf/Hc63208c799c2438e9fc4faa97911e619U/DIY-wooden-stepper-science-toy-assembly-elliptical-machine-model-kit-science-teaching-aid-creative-invention-children.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc63208c799c2438e9fc4faa97911e619U.jpg,https://ae04.alicdn.com/kf/H7c999195d81945b4aa19081adf243653c.jpg,https://ae04.alicdn.com/kf/H69178fc2b30a46298d88efeecc94851co.jpg,https://ae04.alicdn.com/kf/H0b1f8175e4d943db912a87a065cb215cI.jpg,https://ae04.alicdn.com/kf/H7bacd183567d41268e869479272ae6c5i.jpg,",https://www.aliexpress.com/item/1005003415426203.html,10.12,6.88,8.00%,,32%,https://s.click.aliexpress.com/e/_AMWQJ6
High Tech Toys,200386159,Tamagotchis Funny Kids Electronic Pets Toys Nostalgic Pet In One Virtual Cyber Digital HD Color Screen E-pet Pet Interactive Toy,1005003378591913,https://ae01.alicdn.com/kf/H46dda2da4bf04227b909f7cadbe4fc22E/Tamagotchis-Funny-Kids-Electronic-Pets-Toys-Nostalgic-Pet-In-One-Virtual-Cyber-Digital-HD-Color-Screen.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H46dda2da4bf04227b909f7cadbe4fc22E.jpg,https://ae04.alicdn.com/kf/H8a7835e5f1b24072b02c4365283aa06ap.jpg,https://ae04.alicdn.com/kf/H10cf7c7efba04f62986b33bdf59819c7h.jpg,https://ae04.alicdn.com/kf/H58687ba21973415ba76ce3752572eec0S.jpg,https://ae04.alicdn.com/kf/H355719166ce8431489f90399a190853dg.jpg,",https://www.aliexpress.com/item/1005003378591913.html,32.09,20.86,8.00%,,35%,https://s.click.aliexpress.com/e/_9uauMk
High Tech Toys,200386159,Intelligent Escaping Toy Cat Dog Automatic Walk Interactive Toys For Kids Pets Infrared Sensor Rabbit Pet Supplies Accessories,1005003484948732,https://ae01.alicdn.com/kf/H4a34ef5603b84c20b44e2f35b5b47ba00/Intelligent-Escaping-Toy-Cat-Dog-Automatic-Walk-Interactive-Toys-For-Kids-Pets-Infrared-Sensor-Rabbit-Pet.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4a34ef5603b84c20b44e2f35b5b47ba00.jpg,https://ae04.alicdn.com/kf/H943196d526c2432b8ca1d8d93d2eb7abg.jpg,https://ae04.alicdn.com/kf/H1d9a191c93b54d00ac6d24821738af60w.jpg,https://ae04.alicdn.com/kf/H6491040f514f4074ba83136f48f205a4g.jpg,https://ae04.alicdn.com/kf/He86dedc9558e4627b2873f46819c156cG.jpg,",https://www.aliexpress.com/item/1005003484948732.html,24.64,12.57,40.00%,,49%,https://s.click.aliexpress.com/e/_A5Bo9e
High Tech Toys,200386159,Creative Cute Cartoon Animal Shape Peekaboo Pop-Up Interactive Game Puzzle Toy with Music Kids Gift,1005003416154453,https://ae01.alicdn.com/kf/He9cd60b468004530abc7b2a69cf3795fi/Creative-Cute-Cartoon-Animal-Shape-Peekaboo-Pop-Up-Interactive-Game-Puzzle-Toy-with-Music-Kids-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He9cd60b468004530abc7b2a69cf3795fi.jpg,https://ae04.alicdn.com/kf/H5de24c36dc2f480785e3f648307cd7810.jpg,https://ae04.alicdn.com/kf/H5e20add0e67143f0abde1da9f6a993baD.jpg,https://ae04.alicdn.com/kf/H1d798e1ecc64472788701ed15ca199d42.jpg,https://ae04.alicdn.com/kf/He95e0b62cb3d486ab29842fefe0f27cdq.jpg,",https://www.aliexpress.com/item/1005003416154453.html,30.95,21.05,8.00%,,32%,https://s.click.aliexpress.com/e/_AZKaKg
High Tech Toys,200386159,"SunFounder 3+1 DOF Robot Arm Kit with Shovel Bucket, Hanging Clips, Electromagnet, Support Graphical Visual Programming, Python,",1005002701611530,https://ae01.alicdn.com/kf/H09f65e29f74b4e05892d8fd669ed1fe7L/SunFounder-3-1-DOF-Robot-Arm-Kit-with-Shovel-Bucket-Hanging-Clips-Electromagnet-Support-Graphical-Visual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H09f65e29f74b4e05892d8fd669ed1fe7L.jpg,https://ae04.alicdn.com/kf/H5777d774e6a34ad6a7fe52d391ebe4bbO.jpg,https://ae04.alicdn.com/kf/H9bb58463334c47d48280a765e26481c4z.jpg,https://ae04.alicdn.com/kf/H4ce9a0ea0b3f4a2a98cb40f3a814c656A.jpg,https://ae04.alicdn.com/kf/H89f2422d2f304c04b542b8320b36c4256.jpg,",https://www.aliexpress.com/item/1005002701611530.html,129.99,77.99,9.50%,,40%,https://s.click.aliexpress.com/e/_9hp3Iy
High Tech Toys,200386159,Music Light Memory Training Interactive Pop-Up Shape Animals Toy Toddlers Baby Early Education Toys Puzzle Game Funny Peekaboo,1005003416145491,https://ae01.alicdn.com/kf/H21b307c6eda047a5a17cae12fb5956dau/Music-Light-Memory-Training-Interactive-Pop-Up-Shape-Animals-Toy-Toddlers-Baby-Early-Education-Toys-Puzzle.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H21b307c6eda047a5a17cae12fb5956dau.jpg,https://ae04.alicdn.com/kf/Hc2854861ee7a4128a5f7e3f75d77c78bN.jpg,https://ae04.alicdn.com/kf/H11081a7d98fa431aaec7ec361499017fl.jpg,https://ae04.alicdn.com/kf/Hd278419793714e02a7b74cce36f73103f.jpg,https://ae04.alicdn.com/kf/He5f0cfc57e7d489b9f54e3583c503bffE.jpg,",https://www.aliexpress.com/item/1005003416145491.html,30.95,21.05,8.00%,,32%,https://s.click.aliexpress.com/e/_Am56DI
High Tech Toys,200386159,Laser Engraving And Cutting Laser Head Blue Light Focusing 15w Slotted Printing Wood Crafts Making Metal 40mm,1005003493673213,https://ae01.alicdn.com/kf/Hfccee5db41cb4cf5a0badf4a10c97b2e4/Laser-Engraving-And-Cutting-Laser-Head-Blue-Light-Focusing-15w-Slotted-Printing-Wood-Crafts-Making-Metal.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfccee5db41cb4cf5a0badf4a10c97b2e4.jpg,https://ae04.alicdn.com/kf/H0cc3338f6fef4d1d94558ffbd182aaafl.jpg,https://ae04.alicdn.com/kf/H6042ef72f26542489c9c9c8902deb9b1O.jpg,https://ae04.alicdn.com/kf/H08f588d802cb4026b131e9459a7f7ad4t.jpg,https://ae04.alicdn.com/kf/He6ae6271917b4479b62e85b48e7d8cefq.jpg,",https://www.aliexpress.com/item/1005003493673213.html,170.00,85.00,8.00%,,50%,https://s.click.aliexpress.com/e/_AgFWzQ
High Tech Toys,200386159,KIdsbits Maker Coding Box V1.0 Electronics Starter kit for Arduino Programming Toys STEM Educational for Kids Boys Girls 7+,4000898710349,https://ae01.alicdn.com/kf/H06db098bdf4e425abd0ab8799fc431bey/KIdsbits-Maker-Coding-Box-V1-0-Electronics-Starter-kit-for-Arduino-Programming-Toys-STEM-Educational-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H06db098bdf4e425abd0ab8799fc431bey.jpg,https://ae04.alicdn.com/kf/Hc261374eb7ba4263951946ed68c0bcf6z.jpg,https://ae04.alicdn.com/kf/H43cc0b8dee6e4a3d85df49475087aa73F.jpg,https://ae04.alicdn.com/kf/H5876326d5a7e4b0f903a62e7e7aeafe03.jpg,https://ae04.alicdn.com/kf/Hbe2053409bcf47e98b6f77c4bed0b3723.jpg,",https://www.aliexpress.com/item/4000898710349.html,44.00,44.00,8.00%,,0%,https://s.click.aliexpress.com/e/_9uhcbS
High Tech Toys,200386159,Christmas gifts Mini Radar Ultrasonic Radar Maker Open Source Arduino Project Tft Lcd Screen Detection Robot .игрушки для детей,1005003522339505,https://ae01.alicdn.com/kf/H961bed4ed97140979feb6917f0f08503R/Christmas-gifts-Mini-Radar-Ultrasonic-Radar-Maker-Open-Source-Arduino-Project-Tft-Lcd-Screen-Detection-Robot.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H961bed4ed97140979feb6917f0f08503R.jpg,https://ae04.alicdn.com/kf/H43754427c99f40f2b3da1f864295f100e.jpg,https://ae04.alicdn.com/kf/H3dd11cb27b194c06af562d99db36ec893.jpg,https://ae04.alicdn.com/kf/Hc2a15c000a26408984ccad7b29d25775w.jpg,https://ae04.alicdn.com/kf/Hce94432c3df14faa9ce88ff5d7830170F.jpg,",https://www.aliexpress.com/item/1005003522339505.html,145.25,75.53,40.00%,,48%,https://s.click.aliexpress.com/e/_A5HK4M
