Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Novelty & Gag Toys,200001384,Sensory Body Sock Kids Cool Stuff ADHD Autism Anxiety And Stress Relief Toys For Boys Girls 2 3 4 5 6 Years Old,1005003516022746,https://ae01.alicdn.com/kf/Hdbdf1617111340f0b2f312ef520779d3d/Sensory-Body-Sock-Kids-Cool-Stuff-ADHD-Autism-Anxiety-And-Stress-Relief-Toys-For-Boys-Girls.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdbdf1617111340f0b2f312ef520779d3d.jpg,https://ae04.alicdn.com/kf/Hbddc9848bdfc4672bea8d1992d0fcf39o.jpg,https://ae04.alicdn.com/kf/H0314bcd536c3456796ba5777f5773a94d.jpg,https://ae04.alicdn.com/kf/Hfe3676447c014e30bab76f3545c391a0A.jpg,https://ae04.alicdn.com/kf/H2c7a56e635f448a18f8ca0d161176a6ev.jpg,",https://www.aliexpress.com/item/1005003516022746.html,67.69,34.52,40.00%,,49%,https://s.click.aliexpress.com/e/_9ycV8u
Novelty & Gag Toys,200001384,2022 low price gravity sensor control kids flying uav infrared induction hand control mini small ufo ball RC drone toys,1005003536493888,https://ae01.alicdn.com/kf/Hdde28850d6a4404fb304f9eb182f2cd42/2022-low-price-gravity-sensor-control-kids-flying-uav-infrared-induction-hand-control-mini-small-ufo.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdde28850d6a4404fb304f9eb182f2cd42.jpg,",https://www.aliexpress.com/item/1005003536493888.html,95.34,66.74,40.00%,,30%,https://s.click.aliexpress.com/e/_APuSTa
Novelty & Gag Toys,200001384,New Creative Telescopic Dinosaur Shark Head Manipulator Toy Toys Games Stress Relief Prank Surprise Box Free Shiping Items,1005003540848640,https://ae01.alicdn.com/kf/Hac65072efc284762bcf1acdcdc6fb197H/New-Creative-Telescopic-Dinosaur-Shark-Head-Manipulator-Toy-Toys-Games-Stress-Relief-Prank-Surprise-Box-Free.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hac65072efc284762bcf1acdcdc6fb197H.jpg,https://ae04.alicdn.com/kf/H289b1f7d68ca454d86d888d8ec59dd961.jpg,https://ae04.alicdn.com/kf/H96d91ad6e5be44d99929af16dffdd167i.jpg,https://ae04.alicdn.com/kf/H5a81152d6b2c49319bbafb4f28b92e95i.jpg,https://ae04.alicdn.com/kf/H1947f5fb1bb44e1281d666a327fdd073a.jpg,",https://www.aliexpress.com/item/1005003540848640.html,17.92,9.14,10.00%,,49%,https://s.click.aliexpress.com/e/_99HNCC
Novelty & Gag Toys,200001384,"Crocodile Teeth Toys Game for Kids, Crocodile Biting Finger Dentist Games Funny Toys, 2020 Version Ages 3 and Up",1005003422677761,https://ae01.alicdn.com/kf/Hc20b3337cb5c455a807b168fcdeddf6fx/Crocodile-Teeth-Toys-Game-for-Kids-Crocodile-Biting-Finger-Dentist-Games-Funny-Toys-2020-Version-Ages.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc20b3337cb5c455a807b168fcdeddf6fx.jpg,https://ae04.alicdn.com/kf/Hb9958cd1d8264f0ba5a5c825484c0420q.jpg,https://ae04.alicdn.com/kf/Hcaa7ab62e7b34ec4aa045b47bd033ed1Y.jpg,https://ae04.alicdn.com/kf/H528acdac0d1b4ac58d837e16fe97afb5J.jpg,https://ae04.alicdn.com/kf/H7e3def53c38245b7a3401e36e2f48009r.jpg,",https://www.aliexpress.com/item/1005003422677761.html,16.83,11.78,8.00%,,30%,https://s.click.aliexpress.com/e/_AsMQ1O
Novelty & Gag Toys,200001384,Children's toy small candy grabbing machine mini ball grabbing machine,1005003545016334,https://ae01.alicdn.com/kf/H1304de4cd5e84c33ada47014940e344ce/Children-s-toy-small-candy-grabbing-machine-mini-ball-grabbing-machine.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1304de4cd5e84c33ada47014940e344ce.jpg,https://ae04.alicdn.com/kf/Hd11cb0193fa049ccb5e0fd59daeb73d9e.jpg,https://ae04.alicdn.com/kf/Hcd59934b4b2d4aaf901bdd5180fb69dav.jpg,https://ae04.alicdn.com/kf/Hdb83bc7ee50347f196960ee509e49d4aw.jpg,https://ae04.alicdn.com/kf/H7cf8d7488ff343fd857496a1e28f1581h.jpg,",https://www.aliexpress.com/item/1005003545016334.html,5.89,3.00,10.00%,,49%,https://s.click.aliexpress.com/e/_9xsYoU
Novelty & Gag Toys,200001384,Be Quick To Lick! Funny Desktop Game Chameleon Lizard Mask Wagging Tongue Lick Cards Board Game for Children Family Party Toys,1005003422544164,https://ae01.alicdn.com/kf/He3bc762cf6434b789d778faeb0a8923bi/Be-Quick-To-Lick-Funny-Desktop-Game-Chameleon-Lizard-Mask-Wagging-Tongue-Lick-Cards-Board-Game.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He3bc762cf6434b789d778faeb0a8923bi.jpg,https://ae04.alicdn.com/kf/H8e19a145c8b749d29bb6bbaa1ffd4b04v.jpg,https://ae04.alicdn.com/kf/H3a20464e52af4a6692029f68db8eecc5k.jpg,https://ae04.alicdn.com/kf/H5e70b58030d34d95981ab48c27477807A.jpg,https://ae04.alicdn.com/kf/H386267b5a74b4f129ba66881ac8ff2fda.jpg,",https://www.aliexpress.com/item/1005003422544164.html,18.18,12.73,8.00%,,30%,https://s.click.aliexpress.com/e/_Ap7tyo
Novelty & Gag Toys,200001384,Children's Fingers and Eyes New Strange Gadgets Holiday Party Funny Toys Toy Prank Toys Sensory Toys Smiley Face,1005003551307639,https://ae01.alicdn.com/kf/H55f5b454c6ab4a479bb9d836355de766W/Children-s-Fingers-and-Eyes-New-Strange-Gadgets-Holiday-Party-Funny-Toys-Toy-Prank-Toys-Sensory.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H55f5b454c6ab4a479bb9d836355de766W.jpg,https://ae04.alicdn.com/kf/H8a3bb9e0836e4e59a8a624559fa21a17z.jpg,https://ae04.alicdn.com/kf/H097c158667cf47878efbb6081841aea2O.jpg,https://ae04.alicdn.com/kf/H1b4e0cf739804fdead47e0687ad316ffY.jpg,https://ae04.alicdn.com/kf/Hc61818562bef400298068f2215d35571n.jpg,",https://www.aliexpress.com/item/1005003551307639.html,6.59,3.36,10.00%,,49%,https://s.click.aliexpress.com/e/_A8fgnE
Novelty & Gag Toys,200001384,Funny Fingerprint Hot Fingerprint Needle 3D 1Pcs Clone Plastic Toy Christmas Kid Gift Decor Craft,1005002298826776,https://ae01.alicdn.com/kf/H4989cd58fa37478da689ccef92a1cf5ai/Funny-Fingerprint-Hot-Fingerprint-Needle-3D-1Pcs-Clone-Plastic-Toy-Christmas-Kid-Gift-Decor-Craft.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4989cd58fa37478da689ccef92a1cf5ai.jpg,https://ae04.alicdn.com/kf/Ha19e174d398148fb8c41cbb3957419b2M.jpg,https://ae04.alicdn.com/kf/Hc68eb2eb18c64ab0bb03e39d91f2d2c5c.jpg,https://ae04.alicdn.com/kf/Hdd5922e6b42a41b097ad9cb4cee61d33q.jpg,",https://www.aliexpress.com/item/1005002298826776.html,9.80,6.86,10.00%,,30%,https://s.click.aliexpress.com/e/_A2rrKU
Novelty & Gag Toys,200001384,Poplts Jokes Teeth Bite Toy Biting Finger Dentist Game Funny Hippo Pulling Teeth Toys Kids Classic Biting Hand Hippo Games Gift,1005003516413830,https://ae01.alicdn.com/kf/H9ef23eabbb1940258da2c4112514f327G/Poplts-Jokes-Teeth-Bite-Toy-Biting-Finger-Dentist-Game-Funny-Hippo-Pulling-Teeth-Toys-Kids-Classic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9ef23eabbb1940258da2c4112514f327G.jpg,https://ae04.alicdn.com/kf/Heb01b0420cd34b4f9d0fdcc88540fba4g.jpg,https://ae04.alicdn.com/kf/H001893a1e6c548ed863bd87e407a56f67.jpg,https://ae04.alicdn.com/kf/H20a354d1f769417692dbd6d0da6dd970w.jpg,https://ae04.alicdn.com/kf/H039e0f1d9495471ca9edcba7284b613ek.jpg,",https://www.aliexpress.com/item/1005003516413830.html,26.66,14.13,40.00%,,47%,https://s.click.aliexpress.com/e/_AW6DCo
Novelty & Gag Toys,200001384,Funny Fingerprint Hot Fingerprint Needle 3D 1Pcs Clone Plastic Toy Christmas Kid Gift Decor Craft,1005003301475926,https://ae01.alicdn.com/kf/H86a71c75351a4ad7b34f9a66294c91a2C/Funny-Fingerprint-Hot-Fingerprint-Needle-3D-1Pcs-Clone-Plastic-Toy-Christmas-Kid-Gift-Decor-Craft.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H86a71c75351a4ad7b34f9a66294c91a2C.jpg,https://ae04.alicdn.com/kf/H5c34bc17175a44129bd6f2a3f9259012W.jpg,https://ae04.alicdn.com/kf/Hb3cfc9ffb54e42d5a7c2c727c8d70003C.jpg,https://ae04.alicdn.com/kf/Ha15b515375b34de4baa3af48362343e3G.jpg,",https://www.aliexpress.com/item/1005003301475926.html,2.35,1.27,20.00%,,46%,https://s.click.aliexpress.com/e/_9A1KUM
