Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Plus Size Clothes,201516501,Plus size winter coats for women fashion style  button plush  irregular color warm fleece coat with hooded Cold winter female,1005003595783195,https://ae01.alicdn.com/kf/Ha36374e3c8f6452fa3cad09b8466c20eg/Plus-size-winter-coats-for-women-fashion-style-button-plush-irregular-color-warm-fleece-coat-with.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha36374e3c8f6452fa3cad09b8466c20eg.jpg,https://ae04.alicdn.com/kf/H472c80c93bfb4598ad233b44058212f1L.jpg,https://ae04.alicdn.com/kf/He66d8a0ea54f43dcb7efc29fb6d9f2afU.jpg,https://ae04.alicdn.com/kf/H36baec4cc95440508e6adf13cd24b65eq.jpg,https://ae04.alicdn.com/kf/H9cc78a0a6fe94e81956605e13d964223G.jpg,",https://www.aliexpress.com/item/1005003595783195.html,60.98,30.49,40.00%,,50%,https://s.click.aliexpress.com/e/_AEnvYm
Plus Size Clothes,201516501,2021 New Summer Maxi Dress Women Plus Size Solid Blue O-neck Pleated Cake Loose Large Size Big Swing Lantern Long Sleeve Dresses,1005003574969116,https://ae01.alicdn.com/kf/H8b58b08b5c3c488db0799f00f4d8ab6de/2021-New-Summer-Maxi-Dress-Women-Plus-Size-Solid-Blue-O-neck-Pleated-Cake-Loose-Large.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8b58b08b5c3c488db0799f00f4d8ab6de.jpg,https://ae04.alicdn.com/kf/H153e7bf9a2864498b034524d6e7cfa0ax.jpg,https://ae04.alicdn.com/kf/H4e19a00fc03042248026681d8c5dcfdae.jpg,https://ae04.alicdn.com/kf/H6b00c1970818404a8987d7d5ea7dde2en.jpg,https://ae04.alicdn.com/kf/H3fb510cd4a4c4167877d4168b74428f5S.jpg,",https://www.aliexpress.com/item/1005003574969116.html,50.97,25.99,30.00%,,49%,https://s.click.aliexpress.com/e/_AV4pvC
Plus Size Clothes,201516501,2021 New Hot Sale African Style Plus Size Round Neck Three Quarter Sleeve Floral Print Dress For Women,1005003203955313,https://ae01.alicdn.com/kf/H8b13923bd04046ca815f7084fc3d15e7n/2021-New-Hot-Sale-African-Style-Plus-Size-Round-Neck-Three-Quarter-Sleeve-Floral-Print-Dress.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8b13923bd04046ca815f7084fc3d15e7n.jpg,https://ae04.alicdn.com/kf/H1587bb47c0e04cfaa4cdee4e58d761fdJ.jpg,https://ae04.alicdn.com/kf/H6ffc25a3c11d485fb517a97ba77d297bD.jpg,https://ae04.alicdn.com/kf/H3167ce3b820e4791ae62e7e1037cf7f3x.jpg,https://ae04.alicdn.com/kf/H3bf75da926954ae4be958d81f983f0e4q.jpg,",https://www.aliexpress.com/item/1005003203955313.html,18.38,10.11,9.00%,,45%,https://s.click.aliexpress.com/e/_ArBD4q
Plus Size Clothes,201516501,2021 New Summer Hot Sale African Style Plus Size Short Sleeve Print Patchwork Bow Dress For Women(No Corsage),1005002955230313,https://ae01.alicdn.com/kf/H61805b99ba9b404580a251cafe3aa167j/2021-New-Summer-Hot-Sale-African-Style-Plus-Size-Short-Sleeve-Print-Patchwork-Bow-Dress-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H61805b99ba9b404580a251cafe3aa167j.jpg,https://ae04.alicdn.com/kf/Hc7e4cb70f1dd435d8dd7ec7c344d9c79M.jpg,https://ae04.alicdn.com/kf/Hde1c83dc8d844e12a9cc26f1f1181701D.jpg,https://ae04.alicdn.com/kf/H0c560e5561404e478adb25634775351eJ.jpg,https://ae04.alicdn.com/kf/H831af829f1b242229d955468af799d52w.jpg,",https://www.aliexpress.com/item/1005002955230313.html,21.44,13.94,9.00%,,35%,https://s.click.aliexpress.com/e/_99FTr4
Plus Size Clothes,201516501,Elegant Dress Plus Size 2022 Women Chic Printed New Year Evening Party Dress Autumn Round Neck Midi Dress Christmas Club Outfits,1005003617732269,https://ae01.alicdn.com/kf/Hea76ba65b7584fe38e1912eac0fc6c83Z/Elegant-Dress-Plus-Size-2022-Women-Chic-Printed-New-Year-Evening-Party-Dress-Autumn-Round-Neck.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hea76ba65b7584fe38e1912eac0fc6c83Z.jpg,https://ae04.alicdn.com/kf/H252fcf225b11412faa079bcd95e7a230Z.jpg,https://ae04.alicdn.com/kf/Hc868bf1d369b4cdeb6160a65b1db93595.jpg,https://ae04.alicdn.com/kf/H4e6167061f0d4295b6397eb3758235890.jpg,https://ae04.alicdn.com/kf/Hac0230fa4c34449aa2f0d4cb2add5854b.jpg,",https://www.aliexpress.com/item/1005003617732269.html,62.82,31.41,11.00%,,50%,https://s.click.aliexpress.com/e/_AmzXGO
Plus Size Clothes,201516501,4Xl Zipper Solid Color Casual  Top Drawstring Jacket With Pocket Green Coat Outdoor Women'S Autumn Plus Size Hooded Jacket,1005003595815250,https://ae01.alicdn.com/kf/H10047c2eabd24d52b5593e55baa1c6852/4Xl-Zipper-Solid-Color-Casual-Top-Drawstring-Jacket-With-Pocket-Green-Coat-Outdoor-Women-S-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H10047c2eabd24d52b5593e55baa1c6852.jpg,https://ae04.alicdn.com/kf/H8eb738d61a5c43579f5acb365b7281671.jpg,https://ae04.alicdn.com/kf/H082b04086b174338a2adad478a43ad63l.jpg,https://ae04.alicdn.com/kf/He8192d2dba8a448398086b848c103925J.jpg,",https://www.aliexpress.com/item/1005003595815250.html,53.98,26.99,40.00%,,50%,https://s.click.aliexpress.com/e/_97jYM6
Plus Size Clothes,201516501,2022 Spring New Hot Sale African Style Plus Size High Quality Printed Coat And Solid Color Dress Suits Two Piece Set For Women,1005003617366232,https://ae01.alicdn.com/kf/He025123710d34d7395884d8951eb3be6g/2022-Spring-New-Hot-Sale-African-Style-Plus-Size-High-Quality-Printed-Coat-And-Solid-Color.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He025123710d34d7395884d8951eb3be6g.jpg,https://ae04.alicdn.com/kf/Hb29dab16e1bf4e989e1cd0bed7d4a384b.jpg,https://ae04.alicdn.com/kf/H2d256d02ab4541d7ac7f0da0c083b405W.jpg,https://ae04.alicdn.com/kf/Hee77afa3fd99428b9f479614c80af265q.jpg,https://ae04.alicdn.com/kf/H147c8a8fd1cc4815906c0ff23d32f2c4G.jpg,",https://www.aliexpress.com/item/1005003617366232.html,30.62,13.78,10.00%,,55%,https://s.click.aliexpress.com/e/_ACJQ9U
Plus Size Clothes,201516501,2021 Summer Dress Women Plus Size Elegant Leopard Print Lace Hem Patchwork Short Sleeve Stand Collar Vintage Party Maxi Robes,1005003574858903,https://ae01.alicdn.com/kf/H7adb235a9a234500ae9b88cf7bc29a69R/2021-Summer-Dress-Women-Plus-Size-Elegant-Leopard-Print-Lace-Hem-Patchwork-Short-Sleeve-Stand-Collar.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7adb235a9a234500ae9b88cf7bc29a69R.jpg,https://ae04.alicdn.com/kf/H869b7ca686b941ac85841ee91373cb53P.jpg,https://ae04.alicdn.com/kf/H23debd8a4b3c4263ab5c2c10fa15aee2N.jpg,https://ae04.alicdn.com/kf/H050ee9541d6342e6b82d7c7294abc7a8y.jpg,https://ae04.alicdn.com/kf/Hf92051502a974b4eafde0c7eadbd1eda7.jpg,",https://www.aliexpress.com/item/1005003574858903.html,50.97,25.99,30.00%,,49%,https://s.click.aliexpress.com/e/_ANkgLo
Plus Size Clothes,201516501,Plus Size Women Dresses Summer 2021 Elegant Floral Printed Casual Dress Mesh Patchwork Party Dress Plus Size Women Clothing 5XL,1005003574976145,https://ae01.alicdn.com/kf/H9c34b13aeac746738a884a7906248ddaX/Plus-Size-Women-Dresses-Summer-2021-Elegant-Floral-Printed-Casual-Dress-Mesh-Patchwork-Party-Dress-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9c34b13aeac746738a884a7906248ddaX.jpg,https://ae04.alicdn.com/kf/Hbafd0c4849b642e4a7fcb43e9491dffa8.jpg,https://ae04.alicdn.com/kf/He29d45c88f994758ad208b7b9744b92dg.jpg,https://ae04.alicdn.com/kf/H041978afa53b4498850d25c0796522c8z.jpg,https://ae04.alicdn.com/kf/Hb6c73c93d7d64cd489c07339a2371e91Z.jpg,",https://www.aliexpress.com/item/1005003574976145.html,59.37,30.28,30.00%,,49%,https://s.click.aliexpress.com/e/_9wahbM
Plus Size Clothes,201516501,4XL 5XL Plus Size Blouse Women 2021 Autumn Three Quarter Sleeve Colorful Print Casual Long Blouse Loose Oversized Ladies Tops,1005003596418201,https://ae01.alicdn.com/kf/Hab21b95ff1144c78a1e527aaafd909be8/4XL-5XL-Plus-Size-Blouse-Women-2021-Autumn-Three-Quarter-Sleeve-Colorful-Print-Casual-Long-Blouse.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hab21b95ff1144c78a1e527aaafd909be8.jpg,https://ae04.alicdn.com/kf/Hab8b9615cc734ec8914387cb1e083a83A.jpg,https://ae04.alicdn.com/kf/H4d9d8f484d0a47eab417efa09a3efeedg.jpg,https://ae04.alicdn.com/kf/H04b8b5cb0ba64b93a25bb30949dfdb1ch.jpg,https://ae04.alicdn.com/kf/H73bde1d46cdb486dabda2ad94b564ffaL.jpg,",https://www.aliexpress.com/item/1005003596418201.html,70.70,35.35,40.00%,,50%,https://s.click.aliexpress.com/e/_9iVmRu
Plus Size Clothes,201516501,Plus Size Dresses Large Sizes Maxi Summer Sundress 2021 Floral Short Sleeve Chiffon Tunics For Party 5XL Dress With Slit On Side,1005003574894482,https://ae01.alicdn.com/kf/Hf07df94b23f34154bde938e70a3a64f3k/Plus-Size-Dresses-Large-Sizes-Maxi-Summer-Sundress-2021-Floral-Short-Sleeve-Chiffon-Tunics-For-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf07df94b23f34154bde938e70a3a64f3k.jpg,https://ae04.alicdn.com/kf/H43eec6962566409ea8382e4956df0511l.jpg,https://ae04.alicdn.com/kf/H6b80fcce5f3f478a98be27bb429bb8e66.jpg,https://ae04.alicdn.com/kf/Haac4ac2b97ed4600b940cc27134586e63.jpg,https://ae04.alicdn.com/kf/Hd6b53aeb4b454c5eb472ed53f0cb8de8H.jpg,",https://www.aliexpress.com/item/1005003574894482.html,83.43,42.55,30.00%,,49%,https://s.click.aliexpress.com/e/_AnZV2i
Plus Size Clothes,201516501,Plus Size Summer Dresses for Women 2021 New Elegant Sunflower Print Plus Size Casual Dress Mesh Ladies Sexy Party Dress 4XL 5XL,1005003574872787,https://ae01.alicdn.com/kf/H0dc3d5b5460c4617a461cb6b49f2522ae/Plus-Size-Summer-Dresses-for-Women-2021-New-Elegant-Sunflower-Print-Plus-Size-Casual-Dress-Mesh.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0dc3d5b5460c4617a461cb6b49f2522ae.jpg,https://ae04.alicdn.com/kf/H68f6cc86d2dd450b9a05c34705334901Y.jpg,https://ae04.alicdn.com/kf/H27ab19c6d5b047b89d4cfac79f885838p.jpg,https://ae04.alicdn.com/kf/H26b1688daea9442bbf2c14a3e11d1fe5z.jpg,https://ae04.alicdn.com/kf/H8ccbf80fb05144eda904ea53c264f12bz.jpg,",https://www.aliexpress.com/item/1005003574872787.html,78.69,40.13,30.00%,,49%,https://s.click.aliexpress.com/e/_ACmbpo
Plus Size Clothes,201516501,5XL Plus Size Tops For Women Spring Autumn Long Sleeve Two Tone Elegant Tee Shirts Loose Oversized Women's Tops And Blouses,1005003568064566,https://ae01.alicdn.com/kf/Hf656227a7fcc40088c5c33e8b712ad09u/5XL-Plus-Size-Tops-For-Women-Spring-Autumn-Long-Sleeve-Two-Tone-Elegant-Tee-Shirts-Loose.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf656227a7fcc40088c5c33e8b712ad09u.jpg,https://ae04.alicdn.com/kf/H7bc51dbf4fd8410f80b682c99f4be5f9U.jpg,https://ae04.alicdn.com/kf/H2a2a4a11a08045a2ad2c66f8d489b4bdp.jpg,https://ae04.alicdn.com/kf/H002a2d4d10d641b0811a468475beb499n.jpg,https://ae04.alicdn.com/kf/Hbe6f1c590f2045cf9b63bffa5e7b8c0bJ.jpg,",https://www.aliexpress.com/item/1005003568064566.html,24.08,12.04,40.00%,,50%,https://s.click.aliexpress.com/e/_AM0iyw
