Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Women's Shoes,200133142,Women's Mid-tube Boots Autumn and Winter New Fashion Round Toe Square Heel Boots Non-slip Comfortable Casual Boots Fashion Boots,1005003619688246,https://ae01.alicdn.com/kf/Hc80c743431f84a8fb28eb8d3a5f348efe/Women-s-Mid-tube-Boots-Autumn-and-Winter-New-Fashion-Round-Toe-Square-Heel-Boots-Non.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc80c743431f84a8fb28eb8d3a5f348efe.jpg,https://ae04.alicdn.com/kf/H5a05b527482d4eddbcf90a7cbd6163d5s.jpg,https://ae04.alicdn.com/kf/H993e6ae5832344e29825955c45c971d87.jpg,https://ae04.alicdn.com/kf/Ha55ce2cd6df54858a266dc699d6662bfc.jpg,https://ae04.alicdn.com/kf/He3927d9d56044a078409a2714249945dL.jpg,",https://www.aliexpress.com/item/1005003619688246.html,26.58,18.61,10.00%,,30%,https://s.click.aliexpress.com/e/_A5Ojnk
Women's Shoes,200133142,Women's Mid-heel Sandals Summer New Fashion Round-toe Flat Shoes Non-slip Comfortable Lightweight Casual Shoes Mid-heel Sandals,1005003619701067,https://ae01.alicdn.com/kf/Hb134de5ad34e4b34a73066694b0180c2l/Women-s-Mid-heel-Sandals-Summer-New-Fashion-Round-toe-Flat-Shoes-Non-slip-Comfortable-Lightweight.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb134de5ad34e4b34a73066694b0180c2l.jpg,https://ae04.alicdn.com/kf/H2acd643902c942b3a8cfc93e05f4ba4bn.jpg,https://ae04.alicdn.com/kf/H02442571379044698842b58cd6b118edC.jpg,https://ae04.alicdn.com/kf/H458ae6c8b05c4caebd232c6cef5a3a73F.jpg,https://ae04.alicdn.com/kf/H1a8bbe10b4f94ab5a494933a71c7da27N.jpg,",https://www.aliexpress.com/item/1005003619701067.html,24.64,17.25,10.00%,,30%,https://s.click.aliexpress.com/e/_AgTF0e
Women's Shoes,200133142,Women's High-heeled Shoes Summer New Fashion Square Toe Stiletto Cross-lace Shallow Mouth Type Non-slip Comfortable Casual Shoes,1005003619706187,https://ae01.alicdn.com/kf/Hb0759e2e87ae47dea4de45f521565d24d/Women-s-High-heeled-Shoes-Summer-New-Fashion-Square-Toe-Stiletto-Cross-lace-Shallow-Mouth-Type.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb0759e2e87ae47dea4de45f521565d24d.jpg,https://ae04.alicdn.com/kf/H3ca482e05b9c45798a72f419500ae3d9t.jpg,https://ae04.alicdn.com/kf/Hdbff8831fa43407dadd6275f50e13bafv.jpg,https://ae04.alicdn.com/kf/He85fc7f70d354eefb14247175df3b755u.jpg,https://ae04.alicdn.com/kf/H7fdf621c7e3949cfbe0a7abddbf29574y.jpg,",https://www.aliexpress.com/item/1005003619706187.html,23.55,16.48,10.00%,,30%,https://s.click.aliexpress.com/e/_ABxYeA
Women's Shoes,200133142,Women's High Heels Summer New Fashion Square Toe Stilettos Open-toe Buckle Type Non-slip Comfortable Lightweight Casual Shoes,1005003619685310,https://ae01.alicdn.com/kf/Hd220ee5512fa4475ad15986b44b39b4e8/Women-s-High-Heels-Summer-New-Fashion-Square-Toe-Stilettos-Open-toe-Buckle-Type-Non-slip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd220ee5512fa4475ad15986b44b39b4e8.jpg,https://ae04.alicdn.com/kf/H49e8e40bb9b74ffc852d793fb9fbe544g.jpg,https://ae04.alicdn.com/kf/Hb92c6bf0a14f433cbc5aac55d0751f4ch.jpg,https://ae04.alicdn.com/kf/H064e0089a21e4ee1a1974d03745f52ceA.jpg,https://ae04.alicdn.com/kf/H8339c9253c7341cf8af2b4f7ba21c3ae2.jpg,",https://www.aliexpress.com/item/1005003619685310.html,25.00,17.50,10.00%,,30%,https://s.click.aliexpress.com/e/_AZhUwI
Women's Shoes,200133142,Fashion Women Air Cushion Flats Sneakers Shoes Platform Shoes for Women Creepers Mesh Sock Tennis Shoes Outdoor Walking Shoes,4000061641071,https://ae01.alicdn.com/kf/H8bc5272c6fce4990b996d39086017300I/Fashion-Women-Air-Cushion-Flats-Sneakers-Shoes-Platform-Shoes-for-Women-Creepers-Mesh-Sock-Tennis-Shoes.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8bc5272c6fce4990b996d39086017300I.jpg,https://ae04.alicdn.com/kf/H3dd4160eb4454d28b16b645da284499br.jpg,https://ae04.alicdn.com/kf/Hb561eadc4bcc4ca29d4cec60ffe780d96.jpg,https://ae04.alicdn.com/kf/H2fa28daad64f458ca5e0ac1a4a9c6a4cN.jpg,https://ae04.alicdn.com/kf/H2ed092708f7648d7bb5503425fb0b2de9.jpg,",https://www.aliexpress.com/item/4000061641071.html,178.89,125.22,8.00%,,30%,https://s.click.aliexpress.com/e/_9isRQK
Women's Shoes,200133142,Black professional stiletto pointed high heels women's spring 2021 new small heel sexy single shoes soft leather cat heel,1005003610279605,https://ae01.alicdn.com/kf/H806da7ea8b8347bd955314019425d0f42/Black-professional-stiletto-pointed-high-heels-women-s-spring-2021-new-small-heel-sexy-single-shoes.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H806da7ea8b8347bd955314019425d0f42.jpg,https://ae04.alicdn.com/kf/H54d784a36bb94b4e95de1dcc051a1e4fV.jpg,https://ae04.alicdn.com/kf/H7eceb48baed346a8af9694218e00432bR.jpg,https://ae04.alicdn.com/kf/H0b72cb1f251045dc93249573e34cde76o.jpg,https://ae04.alicdn.com/kf/H2897a6e04ded47f5a5733c430dfe0a1fQ.jpg,",https://www.aliexpress.com/item/1005003610279605.html,16.00,16.00,8.00%,,0%,https://s.click.aliexpress.com/e/_AYL6am
Women's Shoes,200133142,Women's Short Boots Autumn and Winter New Fashion Round Toe Square Heel Boots Non-slip Comfortable Casual Boots Fashion Boots,1005003619769031,https://ae01.alicdn.com/kf/H42a011abb457471d9eaeb3a32609e617F/Women-s-Short-Boots-Autumn-and-Winter-New-Fashion-Round-Toe-Square-Heel-Boots-Non-slip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H42a011abb457471d9eaeb3a32609e617F.jpg,https://ae04.alicdn.com/kf/H5d74a329c43440dca78769ced4757c147.jpg,https://ae04.alicdn.com/kf/H87e4133f4c6a40649bf05ad97e08cb4fJ.jpg,https://ae04.alicdn.com/kf/Ha15a4a82acd04ed9b452f006aed4ca54F.jpg,https://ae04.alicdn.com/kf/H4d05165988634517b8e0c44a16ad490ff.jpg,",https://www.aliexpress.com/item/1005003619769031.html,24.31,17.02,10.00%,,30%,https://s.click.aliexpress.com/e/_ABp6YK
Women's Shoes,200133142,2021 spring new Korean style pointed toe patent leather women's shoes shallow mouth single shoes thick heel high heels women,1005003610180854,https://ae01.alicdn.com/kf/H24a25b32953242fab319594aa88e52a96/2021-spring-new-Korean-style-pointed-toe-patent-leather-women-s-shoes-shallow-mouth-single-shoes.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H24a25b32953242fab319594aa88e52a96.jpg,https://ae04.alicdn.com/kf/Hbceca2f7983241b68c3752e10bd10cfdm.jpg,https://ae04.alicdn.com/kf/H2ee0a50bd8404bf2a60ad3c8e5fdbdfen.jpg,https://ae04.alicdn.com/kf/Hae48a82a85514b22b0d5ab4d0647c0075.jpg,https://ae04.alicdn.com/kf/H8f774cc0902942fca5127c9d160503b6Y.jpg,",https://www.aliexpress.com/item/1005003610180854.html,17.00,17.00,8.00%,,0%,https://s.click.aliexpress.com/e/_ASqav4
Women's Shoes,200133142,2022 new crystal bridal wedding shoes high heels stiletto pointed sequins net celebrity girl shoes,1005003617625338,https://ae01.alicdn.com/kf/Hd59ca39058aa47d58d1fc7570fdcc683g/2022-new-crystal-bridal-wedding-shoes-high-heels-stiletto-pointed-sequins-net-celebrity-girl-shoes.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd59ca39058aa47d58d1fc7570fdcc683g.jpg,https://ae04.alicdn.com/kf/Hf96acc3cec6045dcbcf5dde197700a54k.jpg,https://ae04.alicdn.com/kf/H03b0c1625c514b2ab35b937449ad579ex.jpg,https://ae04.alicdn.com/kf/Hde131fef97334a47810674d0f86e4458F.jpg,https://ae04.alicdn.com/kf/H5b45a291bf604ad78c3c79bc18a064f3G.jpg,",https://www.aliexpress.com/item/1005003617625338.html,16.00,16.00,8.00%,,0%,https://s.click.aliexpress.com/e/_9hYItc
Women's Shoes,200133142,European and American new style 7cm stiletto high heels pointed toe shiny mid-heel sexy black patent leather single shoes women,1005003610264749,https://ae01.alicdn.com/kf/H2f93e8be75e44962816cf2de0a3760662/European-and-American-new-style-7cm-stiletto-high-heels-pointed-toe-shiny-mid-heel-sexy-black.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2f93e8be75e44962816cf2de0a3760662.jpg,https://ae04.alicdn.com/kf/Hf74ab3e457984c5aada849dc9ff131c0Z.jpg,https://ae04.alicdn.com/kf/H745214fc53a8427dae16acc3668ec1daZ.jpg,https://ae04.alicdn.com/kf/H3f627b5aa6734d2382f10f58abe8952dy.jpg,https://ae04.alicdn.com/kf/Hb18e36d7869040b0a286c5c670803237b.jpg,",https://www.aliexpress.com/item/1005003610264749.html,16.00,16.00,8.00%,,0%,https://s.click.aliexpress.com/e/_Am9mZy
Women's Shoes,200133142,Women's Low-heeled Sandals Summer Fashion Round-toe Flat-heeled Shoes Non-slip Comfortable LightweightCasual Shoes Fashion Shoes,1005003619638497,https://ae01.alicdn.com/kf/H8179451177ad42ea8598233733411e7bC/Women-s-Low-heeled-Sandals-Summer-Fashion-Round-toe-Flat-heeled-Shoes-Non-slip-Comfortable-LightweightCasual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8179451177ad42ea8598233733411e7bC.jpg,https://ae04.alicdn.com/kf/H621b6e7df9c0400288087e46e7c19454I.jpg,https://ae04.alicdn.com/kf/H7aea27c9354344e185330b0d4bd773f4o.jpg,https://ae04.alicdn.com/kf/Ha3f0223808454f94bcf2663496cdaf3ey.jpg,https://ae04.alicdn.com/kf/He16593f0a08345fca7842df2f61eb78aI.jpg,",https://www.aliexpress.com/item/1005003619638497.html,23.76,16.63,10.00%,,30%,https://s.click.aliexpress.com/e/_ASRQrY
