Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hoodies & Sweatshirts,200000348,aesthetic bear anime hoodie women korean crewneck long sleeve oversized streetwear winter clothes topss,1005003694238203,https://ae01.alicdn.com/kf/H89f2a519634e43e4b6a5fcd7692b86222/aesthetic-bear-anime-hoodie-women-korean-crewneck-long-sleeve-oversized-streetwear-winter-clothes-topss.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H89f2a519634e43e4b6a5fcd7692b86222.jpg,https://ae04.alicdn.com/kf/Hb1c18e74464a44ccafbafa056271b886Y.jpg,https://ae04.alicdn.com/kf/H576739c07cb74616bddd5821ac6d3bfc3.jpg,https://ae04.alicdn.com/kf/Sa7f97ea695734859b6b5372f96587c55R.jpg,https://ae04.alicdn.com/kf/S64301d65b8f6448b85c81708ee6cd673d.jpg,",https://www.aliexpress.com/item/1005003694238203.html,41.51,20.75,15.00%,,50%,https://s.click.aliexpress.com/e/_AW43E2
Hoodies & Sweatshirts,200000348,Poleron Woman Hoddies Aesthetic Pull Clothing Kawai Sweatshirts Sweet Joggging Femme Y2k Fashion Zipper Oversized Autumn Warm,1005001491218091,https://ae01.alicdn.com/kf/Hf910eb490bec4ea493ae51d7ecfded85e/Poleron-Woman-Hoddies-Aesthetic-Pull-Clothing-Kawai-Sweatshirts-Sweet-Joggging-Femme-Y2k-Fashion-Zipper-Oversized-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf910eb490bec4ea493ae51d7ecfded85e.jpg,https://ae04.alicdn.com/kf/H886e47afefb34901964938b850501ad7e.jpg,https://ae04.alicdn.com/kf/Hd3d71b2319b549b2a400419ed4bd628ek.jpg,https://ae04.alicdn.com/kf/Hcb73b2706c774f22bd42954b053bb635z.jpg,https://ae04.alicdn.com/kf/H18bb9aa378994a7f90e73094c1c06808E.jpg,",https://www.aliexpress.com/item/1005001491218091.html,19.18,12.85,12.00%,,33%,https://s.click.aliexpress.com/e/_AdE3gO
Hoodies & Sweatshirts,200000348,Fluffy hoodies Women Sweatshirt cute bear ear cap Autumn Winter Warm pullover Long Sleeve outwear Fleece coat,1005003694234172,https://ae01.alicdn.com/kf/H932764330e72412eab1c760ad6a07f8bw/Fluffy-hoodies-Women-Sweatshirt-cute-bear-ear-cap-Autumn-Winter-Warm-pullover-Long-Sleeve-outwear-Fleece.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H932764330e72412eab1c760ad6a07f8bw.jpg,https://ae04.alicdn.com/kf/Sa0e70f974dc14523a3ecf7800da6ded7Y.jpg,https://ae04.alicdn.com/kf/S03c44ff5006842f9a0a96aef716316000.jpg,https://ae04.alicdn.com/kf/S092bee2a05784a0d8cf0f914d70d4dcbL.jpg,https://ae04.alicdn.com/kf/Sc8f564566d8d4b9ba4cc69938697e7d6I.jpg,",https://www.aliexpress.com/item/1005003694234172.html,35.90,17.95,15.00%,,50%,https://s.click.aliexpress.com/e/_AshBRG
Hoodies & Sweatshirts,200000348,IAMSURE Furry Patchwork Pu Leather Jackets Casual Solid Hooded Zipper Coats Women 2021 Fashion Streetwear Autumn Winter Ladies,1005003402282628,https://ae01.alicdn.com/kf/H7b68ea2731eb4fba819cdb856b7c2e650/IAMSURE-Furry-Patchwork-Pu-Leather-Jackets-Casual-Solid-Hooded-Zipper-Coats-Women-2021-Fashion-Streetwear-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7b68ea2731eb4fba819cdb856b7c2e650.jpg,https://ae04.alicdn.com/kf/H232d3ccb871349bfa9566647e44917399.jpg,https://ae04.alicdn.com/kf/Hddaf952381f644739d814ff8e298734aE.jpg,https://ae04.alicdn.com/kf/H7435b38362e240a292f239888bb19da7j.jpg,https://ae04.alicdn.com/kf/H584df8e333764806829fc95dd68fcee64.jpg,",https://www.aliexpress.com/item/1005003402282628.html,45.27,22.63,9.00%,,50%,https://s.click.aliexpress.com/e/_9AHSci
Hoodies & Sweatshirts,200000348,Girl Sweatshirts Teen 2020 Spring Autumn Women's Hoodies Casual Female Zip Up Loose Hooded Oversize Hoodie Women Sweatshirts,1005003694157951,https://ae01.alicdn.com/kf/Hbc9f96bf0ce94c8984317bfc82a0b6beK/Girl-Sweatshirts-Teen-2020-Spring-Autumn-Women-s-Hoodies-Casual-Female-Zip-Up-Loose-Hooded-Oversize.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbc9f96bf0ce94c8984317bfc82a0b6beK.jpg,https://ae04.alicdn.com/kf/H5ecf4244d6e1453a8e76dece3d06c9deB.jpg,https://ae04.alicdn.com/kf/H7af1a52ce75d4267904d0c658155dc82V.jpg,https://ae04.alicdn.com/kf/H3af08655f2d54de5bb5546b8b0add276Q.jpg,https://ae04.alicdn.com/kf/Hc6551bf275af46fb9a853bf01df7ac9er.jpg,",https://www.aliexpress.com/item/1005003694157951.html,41.00,18.45,9.00%,,55%,https://s.click.aliexpress.com/e/_9x8fAw
Hoodies & Sweatshirts,200000348,Lion Flame Hoodie Men's 3D Animal Print Unisex Sports Fashion Pullover Street Hip Hop Tiger Lion Spring and Autumn New Sweatshir,1005003691456201,https://ae01.alicdn.com/kf/Hffd64201fe4241e0b84847e7b2a00ad6S/Lion-Flame-Hoodie-Men-s-3D-Animal-Print-Unisex-Sports-Fashion-Pullover-Street-Hip-Hop-Tiger.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hffd64201fe4241e0b84847e7b2a00ad6S.jpg,https://ae04.alicdn.com/kf/H5773f21eb44b4af29bb1b61fc7a9f7fdn.jpg,https://ae04.alicdn.com/kf/Hcf18d50ce39d4b7d9287a6982d1a6e9dJ.jpg,https://ae04.alicdn.com/kf/H6bde10e8754d4837a89c9ca80138e85cW.jpg,https://ae04.alicdn.com/kf/H1d6d472ddcc44d979db079cb796cd211F.jpg,",https://www.aliexpress.com/item/1005003691456201.html,22.00,9.02,9.00%,,59%,https://s.click.aliexpress.com/e/_ApR1MW
Hoodies & Sweatshirts,200000348,Cat Lovers Sweatshirt women Hoodies Kangaroo Dog Pet Paw Pullovers Cuddle Pouch Sweatshirt Pocket Animal Ear Hooded Dropshipping,1005003694168499,https://ae01.alicdn.com/kf/Ha6a2095c874a41b1ac93462699943f22e/Cat-Lovers-Sweatshirt-women-Hoodies-Kangaroo-Dog-Pet-Paw-Pullovers-Cuddle-Pouch-Sweatshirt-Pocket-Animal-Ear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha6a2095c874a41b1ac93462699943f22e.jpg,https://ae04.alicdn.com/kf/Hceea881260d94936b1d813013bd5f47eu.jpg,https://ae04.alicdn.com/kf/H0914ea1b7d18478e8ad910eb007a4b22g.jpg,https://ae04.alicdn.com/kf/S8d34789a4b05438d8988e772a490ac986.jpg,https://ae04.alicdn.com/kf/Hd5616b5f42fe476aa878f4af7766ba0ae.jpg,",https://www.aliexpress.com/item/1005003694168499.html,44.88,22.44,15.00%,,50%,https://s.click.aliexpress.com/e/_A9dJ90
Hoodies & Sweatshirts,200000348,Zip up Tops Casual jacket Plus Size Korean Fashion Clothes Cool sweatshirt women 2021 Spring New Oversized Hoodies Zip up Tops,1005003694377002,https://ae01.alicdn.com/kf/Hdfb4c8e4686543899e31cf5a7373a4b5K/Zip-up-Tops-Casual-jacket-Plus-Size-Korean-Fashion-Clothes-Cool-sweatshirt-women-2021-Spring-New.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdfb4c8e4686543899e31cf5a7373a4b5K.jpg,https://ae04.alicdn.com/kf/H8b099fe5a85c463f92477740172ac62ff.jpg,https://ae04.alicdn.com/kf/He05b7d8b76e947f795f79d088b1b0cf7V.jpg,https://ae04.alicdn.com/kf/H546748f7658e47fa8caeafb238b870c4m.jpg,https://ae04.alicdn.com/kf/Hbcd848ea6656459e85fbbf0a65c0e86cU.jpg,",https://www.aliexpress.com/item/1005003694377002.html,30.32,13.64,9.00%,,55%,https://s.click.aliexpress.com/e/_9ys9lo
Hoodies & Sweatshirts,200000348,Zip Up Gothic Black  E-girl Harajuku Long Sleeve Outerwear  Hoodie y2k Women's Rhinestone Skull Casual Oversized Sweatshirt Punk,1005003694315244,https://ae01.alicdn.com/kf/Ha2a95192cdbc493a820453e15586e63bp/Zip-Up-Gothic-Black-E-girl-Harajuku-Long-Sleeve-Outerwear-Hoodie-y2k-Women-s-Rhinestone-Skull.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha2a95192cdbc493a820453e15586e63bp.jpg,https://ae04.alicdn.com/kf/H59f3e8194d744c7cbcb33fa8be5b3d983.jpg,https://ae04.alicdn.com/kf/H220c85c367d04925875f12d2c220b316F.jpg,https://ae04.alicdn.com/kf/H69cb657f98664e4ba05280e9848a5413w.jpg,https://ae04.alicdn.com/kf/Ha0b99dca2b8c4f29ae18804d48f000c70.jpg,",https://www.aliexpress.com/item/1005003694315244.html,29.06,13.08,9.00%,,55%,https://s.click.aliexpress.com/e/_AETzLc
Hoodies & Sweatshirts,200000348,IAMSURE Furry Basic Solid Oversized Sweatshirt Women 2021 Loose Green Fleece Hooded Long Sleeve Pullovers Fashion Streetwear,1005003392570532,https://ae01.alicdn.com/kf/H5b8c7bc8fc74473697063b23a9e16b291/IAMSURE-Furry-Basic-Solid-Oversized-Sweatshirt-Women-2021-Loose-Green-Fleece-Hooded-Long-Sleeve-Pullovers-Fashion.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5b8c7bc8fc74473697063b23a9e16b291.jpg,https://ae04.alicdn.com/kf/H0777a9f018f7456088725fc6dd1ae44eO.jpg,https://ae04.alicdn.com/kf/Hac5c9aed76e248f3bf354b91a4b76905E.jpg,https://ae04.alicdn.com/kf/H697d900825af4f538bc5eeeb148595bfA.jpg,https://ae04.alicdn.com/kf/H0dd0fd55b23c4877ac6f66052c1bea4fp.jpg,",https://www.aliexpress.com/item/1005003392570532.html,29.96,14.98,9.00%,,50%,https://s.click.aliexpress.com/e/_AVY57y
