Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Muslim Fashion,201515701,Arab Muslim Women Bandana Turban Hijab Niqab Islamic Face Mask Cover Scarf Shawl Abaya Women's Hijabs Wrap Headwrap Amira Cap,1005003664430050,https://ae01.alicdn.com/kf/H08bb2eac94b944998ee1c88cbcfcd2f6m/Arab-Muslim-Women-Bandana-Turban-Hijab-Niqab-Islamic-Face-Mask-Cover-Scarf-Shawl-Abaya-Women-s.png_220x220.png,"https://ae04.alicdn.com/kf/H08bb2eac94b944998ee1c88cbcfcd2f6m.png,https://ae04.alicdn.com/kf/Hfa5774736383485aa86c0f325963122au.png,https://ae04.alicdn.com/kf/H4e2858d440f54a50b45d798b642c8266b.jpg,https://ae04.alicdn.com/kf/Hb8eaa3d765074dcc931fc885d5526addZ.jpg,https://ae04.alicdn.com/kf/H86aa6465749e4152bc06120a4a4d1b25o.jpg,",https://www.aliexpress.com/item/1005003664430050.html,3.90,2.96,10.00%,,24%,https://s.click.aliexpress.com/e/_ABUOsS
Muslim Fashion,201515701,La Mode Sequins Embroidered Abaya For Women Moroccan Kaftan Turkey Arabic Dress Jalabiya White Islamic Ethnic Robe 2022 Eid New,1005003687628997,https://ae01.alicdn.com/kf/H3b66db32d1a54a1f9bd14bc779b684b7P/La-Mode-Sequins-Embroidered-Abaya-For-Women-Moroccan-Kaftan-Turkey-Arabic-Dress-Jalabiya-White-Islamic-Ethnic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3b66db32d1a54a1f9bd14bc779b684b7P.jpg,https://ae04.alicdn.com/kf/H9a6bdbd4ce5846c686176935a5943e45U.jpg,https://ae04.alicdn.com/kf/H04fb54b0bed44799bd813fb92676b09aI.jpg,https://ae04.alicdn.com/kf/Hb0afe64e37f2420ca2f92ceb49dfa6e3h.jpg,https://ae04.alicdn.com/kf/H7b1d60ac31d74132baad0a193a23cdd5e.jpg,",https://www.aliexpress.com/item/1005003687628997.html,74.51,37.25,15.00%,,50%,https://s.click.aliexpress.com/e/_ASYGZM
Muslim Fashion,201515701,Women's Dress  V-neck Backless Slim Fit Buttock Midi Skirt Lantern Sleeve Sexy Fishtail Swing Host Party Dresses Cocktail Dress,1005003693010004,https://ae01.alicdn.com/kf/H4f81af625035414dbd42df7c4ef16168a/Women-s-Dress-V-neck-Backless-Slim-Fit-Buttock-Midi-Skirt-Lantern-Sleeve-Sexy-Fishtail-Swing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4f81af625035414dbd42df7c4ef16168a.jpg,",https://www.aliexpress.com/item/1005003693010004.html,64.20,32.74,15.00%,,49%,https://s.click.aliexpress.com/e/_9hRI2m
Muslim Fashion,201515701,Ramadan Eid Jalabiat Hooded Hijab Dress for Women 2021 Moroccan Caftan Dubai Jalabiya Arabic Middle East Islamic Clothing Green,1005002495316784,https://ae01.alicdn.com/kf/Ha2ee2021809e4d9e8061a7c370f69ecfk/Ramadan-Eid-Jalabiat-Hooded-Hijab-Dress-for-Women-2021-Moroccan-Caftan-Dubai-Jalabiya-Arabic-Middle-East.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha2ee2021809e4d9e8061a7c370f69ecfk.jpg,https://ae04.alicdn.com/kf/He0fd609f4b6249928db7a39bb078db14c.jpg,https://ae04.alicdn.com/kf/H191f1508ad224005afd3f910df8f4856o.jpg,https://ae04.alicdn.com/kf/H78e3344fa90d4c0c9d779890aeebf49bb.jpg,https://ae04.alicdn.com/kf/Ha23548e3965840c6afab474c3c72b467W.jpg,",https://www.aliexpress.com/item/1005002495316784.html,67.99,33.99,9.00%,,50%,https://s.click.aliexpress.com/e/_9ub3oe
Muslim Fashion,201515701,year retro French Winter foreign style red Christmas knitted dress,1005003475384942,https://ae01.alicdn.com/kf/H3217376a0eea46ac87b843895add1e18x/year-retro-French-Winter-foreign-style-red-Christmas-knitted-dress.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3217376a0eea46ac87b843895add1e18x.jpg,https://ae04.alicdn.com/kf/H9a95b5b6faa04cb9bd833cebc077fb3e3.jpg,https://ae04.alicdn.com/kf/H3afc62e655c244fc85a0654298f55280T.jpg,https://ae04.alicdn.com/kf/H0ed973c079ed4cecb3578a44a157b65d5.jpg,https://ae04.alicdn.com/kf/Hd6b6a6ca0b5a4f8fb23fce2fc1e0439e2.jpg,",https://www.aliexpress.com/item/1005003475384942.html,32.83,16.74,9.00%,,49%,https://s.click.aliexpress.com/e/_Amqcxg
Muslim Fashion,201515701,Siskakia Mubarak Eid Satin Dress for Women Fashion Muslim Ethnic Embroidery Gilding  Jalabiya Dubai Arabic Moroccan Kaftan Robe,1005002012023584,https://ae01.alicdn.com/kf/H460c155e87424cac87fee03498617112f/Siskakia-Mubarak-Eid-Satin-Dress-for-Women-Fashion-Muslim-Ethnic-Embroidery-Gilding-Jalabiya-Dubai-Arabic-Moroccan.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H460c155e87424cac87fee03498617112f.jpg,https://ae04.alicdn.com/kf/Hf62af81e4bfc47728c847236cd7b58cah.jpg,https://ae04.alicdn.com/kf/H04c16ca9c142464c9b3da4ff2814f7be0.jpg,https://ae04.alicdn.com/kf/H57de62b3c65e4c87afd2835430d5e0fc3.jpg,https://ae04.alicdn.com/kf/H9e33e37184b740a085ac811cef753c76W.jpg,",https://www.aliexpress.com/item/1005002012023584.html,70.10,35.05,9.00%,,50%,https://s.click.aliexpress.com/e/_AgFRhu
Muslim Fashion,201515701,Muslim Dubai Hijab Dress for Women Eid 2021 Pink Diamond Ribbon V Neck Long Sleeve Jalabiya Moroccan Kaftan Arabic Oman Robe New,1005002822090288,https://ae01.alicdn.com/kf/Hfd6b821c6a064afdbc0da1e4f86c8634u/Muslim-Dubai-Hijab-Dress-for-Women-Eid-2021-Pink-Diamond-Ribbon-V-Neck-Long-Sleeve-Jalabiya.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfd6b821c6a064afdbc0da1e4f86c8634u.jpg,https://ae04.alicdn.com/kf/Ha4b175291e754aa68c921e61d542bcddE.jpg,https://ae04.alicdn.com/kf/Hff244be03bf94672bebcc310c80fb594s.jpg,https://ae04.alicdn.com/kf/H5c483112fa444d95bbf66e7d75d2736aX.jpg,https://ae04.alicdn.com/kf/H5201c40e8d1c4a50bef34224ef11c5743.jpg,",https://www.aliexpress.com/item/1005002822090288.html,78.39,39.19,9.00%,,50%,https://s.click.aliexpress.com/e/_A0Wy2O
Muslim Fashion,201515701,Black Muslim Dubai Hijab Dress for Women Ramadan Eid Diamond Ribbon Jalabiya Moroccan Kaftan Arabic Middle East Islamic Clothing,1005002664187671,https://ae01.alicdn.com/kf/H7befe2902c8c45459d89a841634653f9J/Black-Muslim-Dubai-Hijab-Dress-for-Women-Ramadan-Eid-Diamond-Ribbon-Jalabiya-Moroccan-Kaftan-Arabic-Middle.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7befe2902c8c45459d89a841634653f9J.jpg,https://ae04.alicdn.com/kf/He38fd8a81df7416981f0b1be0377c019A.jpg,https://ae04.alicdn.com/kf/Hcd77540523414723874c37342a7b0beaP.jpg,https://ae04.alicdn.com/kf/H2182b6bb25ae48548dda9cf0a181ded0m.jpg,https://ae04.alicdn.com/kf/H8a967e52cca14141a1ce8e95bf83b28aR.jpg,",https://www.aliexpress.com/item/1005002664187671.html,62.33,31.16,9.00%,,50%,https://s.click.aliexpress.com/e/_9I7s5M
Muslim Fashion,201515701,Casual Knitted Muslim Men Prayer Hats Winter Warm Male Beanies Cap Islamic Ramadan Jewish Kippah Homme Hat Men's Wrap Head Cap,1005003635137968,https://ae01.alicdn.com/kf/H2c5e5326f3014a4a90bb96be75d9f8e1i/Casual-Knitted-Muslim-Men-Prayer-Hats-Winter-Warm-Male-Beanies-Cap-Islamic-Ramadan-Jewish-Kippah-Homme.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2c5e5326f3014a4a90bb96be75d9f8e1i.jpg,https://ae04.alicdn.com/kf/Hd4af8bea1b9048d482d40d8e2d1922e32.jpg,https://ae04.alicdn.com/kf/H9aa1013c5bbf46d1acc12368f6fddc65J.jpg,https://ae04.alicdn.com/kf/Hfa5118215c1c4c21a74fd5b9ff1385869.jpg,https://ae04.alicdn.com/kf/H769c9073ed7346caab85102cf557e797R.jpg,",https://www.aliexpress.com/item/1005003635137968.html,2.99,2.06,9.00%,,31%,https://s.click.aliexpress.com/e/_A3fAWq
Muslim Fashion,201515701,Single Layer Niqab Nikab Hijab Veil Ramadon Islamic Muslim Dubai Women Burqa Scarf Arab Prayer Shawl Headband Abaya Jilbab,1005003664434358,https://ae01.alicdn.com/kf/Ha39e3e2e90244ec4b7007cc41da090edW/Single-Layer-Niqab-Nikab-Hijab-Veil-Ramadon-Islamic-Muslim-Dubai-Women-Burqa-Scarf-Arab-Prayer-Shawl.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha39e3e2e90244ec4b7007cc41da090edW.jpg,https://ae04.alicdn.com/kf/Hfa5774736383485aa86c0f325963122au.png,https://ae04.alicdn.com/kf/H05ef23e2ef984d308023b66cb1d3f60a3.jpg,https://ae04.alicdn.com/kf/H86aa6465749e4152bc06120a4a4d1b25o.jpg,https://ae04.alicdn.com/kf/H4e2858d440f54a50b45d798b642c8266b.jpg,",https://www.aliexpress.com/item/1005003664434358.html,7.90,4.98,10.00%,,37%,https://s.click.aliexpress.com/e/_AYc04a
